date,station,precipitation
2012-09-28,Arties,0.2
2012-09-29,Arties,11.6
2012-09-30,Arties,1.8
2012-10-01,Arties,0
2012-10-02,Arties,0
2012-10-03,Arties,0
2012-10-04,Arties,0
2012-10-05,Arties,0
2012-10-06,Arties,0
2012-10-07,Arties,0
2012-10-08,Arties,0
2012-10-09,Arties,0
2012-10-10,Arties,0.6
2012-10-11,Arties,11.8
2012-10-12,Arties,2
2012-10-13,Arties,0
2012-10-14,Arties,10.8
2012-10-15,Arties,0.4
2012-10-16,Arties,0
2012-10-17,Arties,0
2012-10-18,Arties,6.8
2012-10-19,Arties,33.2
2012-10-20,Arties,9.4
2012-10-21,Arties,4.6
2012-10-22,Arties,0
2012-10-23,Arties,0
2012-10-24,Arties,0
2012-10-25,Arties,4
2012-10-26,Arties,9.8
2012-10-27,Arties,15.8
2012-10-28,Arties,2
2012-10-29,Arties,0
2012-10-30,Arties,0
2012-10-31,Arties,1
2012-11-01,Arties,0
2012-11-02,Arties,0
2012-11-03,Arties,0
2012-11-04,Arties,13.4
2012-11-05,Arties,1.2
2012-11-06,Arties,0
2012-11-07,Arties,0
2012-11-08,Arties,0.8
2012-11-09,Arties,0.2
2012-11-10,Arties,4.6
2012-11-11,Arties,4
2012-11-12,Arties,0.4
2012-11-13,Arties,0
2012-11-14,Arties,0
2012-11-15,Arties,0
2012-11-16,Arties,0
2012-11-17,Arties,0
2012-11-18,Arties,0.6
2012-11-19,Arties,0
2012-11-20,Arties,0
2012-11-21,Arties,0.2
2012-11-22,Arties,0
2012-11-23,Arties,0
2012-11-24,Arties,0
2012-11-25,Arties,0
2012-11-26,Arties,15
2012-11-27,Arties,12.6
2012-11-28,Arties,5
2012-11-29,Arties,2.4
2012-11-30,Arties,0
2012-12-01,Arties,0
2012-12-02,Arties,1.2
2012-12-03,Arties,19.6
2012-12-04,Arties,10
2012-12-05,Arties,2.8
2012-12-06,Arties,1.2
2012-12-07,Arties,18
2012-12-08,Arties,6.8
2012-12-09,Arties,0.2
2012-12-10,Arties,0
2012-12-11,Arties,0
2012-12-12,Arties,1
2012-12-13,Arties,0
2012-12-14,Arties,0
2012-12-15,Arties,0.8
2012-12-16,Arties,0.2
2012-12-17,Arties,0.6
2012-12-18,Arties,0
2012-12-19,Arties,0
2012-12-20,Arties,0.2
2012-12-21,Arties,0.6
2012-12-22,Arties,0.2
2012-12-23,Arties,0
2012-12-24,Arties,0
2012-12-25,Arties,1.4
2012-12-26,Arties,2.8
2012-12-27,Arties,0
2012-12-28,Arties,0.2
2012-12-29,Arties,0
2012-12-30,Arties,0
2012-12-31,Arties,0
2013-01-01,Arties,3.4
2013-01-02,Arties,1.8
2013-01-03,Arties,0
2013-01-04,Arties,0
2013-01-05,Arties,0
2013-01-06,Arties,0
2013-01-07,Arties,0
2013-01-08,Arties,0
2013-01-09,Arties,0
2013-01-10,Arties,2.2
2013-01-11,Arties,0
2013-01-12,Arties,0
2013-01-13,Arties,5.6
2013-01-14,Arties,0.8
2013-01-15,Arties,1.2
2013-01-16,Arties,26.8
2013-01-17,Arties,8.8
2013-01-18,Arties,16.6
2013-01-19,Arties,12.4
2013-01-20,Arties,9.2
2013-01-21,Arties,6.8
2013-01-22,Arties,0
2013-01-23,Arties,3.2
2013-01-24,Arties,3.6
2013-01-25,Arties,2.4
2013-01-26,Arties,25.6
2013-01-27,Arties,14.6
2013-01-28,Arties,4.4
2013-01-29,Arties,0
2013-01-30,Arties,0
2013-01-31,Arties,0
2013-02-01,Arties,1.2
2013-02-02,Arties,10
2013-02-03,Arties,3
2013-02-04,Arties,18.4
2013-02-05,Arties,0.8
2013-02-06,Arties,2.2
2013-02-07,Arties,0.2
2013-02-08,Arties,4
2013-02-09,Arties,2
2013-02-10,Arties,21.4
2013-02-11,Arties,8.6
2013-02-12,Arties,11.8
2013-02-13,Arties,5
2013-02-14,Arties,16.4
2013-02-15,Arties,0.6
2013-02-16,Arties,0
2013-02-17,Arties,0
2013-02-18,Arties,0
2013-02-19,Arties,0
2013-02-20,Arties,0
2013-02-21,Arties,0.4
2013-02-22,Arties,1.4
2013-02-23,Arties,0
2013-02-24,Arties,0.8
2013-02-25,Arties,1.8
2013-02-26,Arties,9.6
2013-02-27,Arties,0
2013-02-28,Arties,0
2013-03-01,Arties,0.8
2013-03-02,Arties,0
2013-03-03,Arties,0
2013-03-04,Arties,0
2013-03-05,Arties,3
2013-03-06,Arties,8.4
2013-03-07,Arties,7.4
2013-03-08,Arties,3
2013-03-09,Arties,2
2013-03-10,Arties,0
2013-03-11,Arties,0
2013-03-12,Arties,2.4
2013-03-13,Arties,1.8
2013-03-14,Arties,0.2
2013-03-15,Arties,11.8
2013-03-16,Arties,0
2013-03-17,Arties,2.6
2013-03-18,Arties,1.4
2013-03-19,Arties,0
2013-03-20,Arties,2.6
2013-03-21,Arties,0
2013-03-22,Arties,0.2
2013-03-23,Arties,0
2013-03-24,Arties,3.6
2013-03-25,Arties,3.6
2013-03-26,Arties,0.6
2013-03-27,Arties,0
2013-03-28,Arties,1.6
2013-03-29,Arties,0.6
2013-03-30,Arties,4.4
2013-03-31,Arties,0
2013-04-01,Arties,2.4
2013-04-02,Arties,0.4
2013-04-03,Arties,0
2013-04-04,Arties,4.4
2013-04-05,Arties,5
2013-04-06,Arties,2.6
2013-04-07,Arties,3.4
2013-04-08,Arties,0
2013-04-09,Arties,0
2013-04-10,Arties,0
2013-04-11,Arties,1
2013-04-12,Arties,0
2013-04-13,Arties,0
2013-04-14,Arties,0
2013-04-15,Arties,0
2013-04-16,Arties,0
2013-04-17,Arties,0
2013-04-18,Arties,0
2013-04-19,Arties,12.8
2013-04-20,Arties,1.4
2013-04-21,Arties,0
2013-04-22,Arties,0
2013-04-23,Arties,0
2013-04-24,Arties,0
2013-04-25,Arties,0.8
2013-04-26,Arties,2
2013-04-27,Arties,12.8
2013-04-28,Arties,9.2
2013-04-29,Arties,5.4
2013-04-30,Arties,15.2
2013-05-01,Arties,0.4
2013-05-02,Arties,6
2013-05-03,Arties,0.8
2013-05-04,Arties,0
2013-05-05,Arties,0
2013-05-06,Arties,0
2013-05-07,Arties,0
2013-05-08,Arties,1.6
2013-05-09,Arties,5.2
2013-05-10,Arties,0.2
2013-05-11,Arties,0
2013-05-12,Arties,0
2013-05-13,Arties,0
2013-05-14,Arties,0.8
2013-05-15,Arties,26.4
2013-05-16,Arties,8.6
2013-05-17,Arties,2.2
2013-05-18,Arties,2.4
2013-05-19,Arties,0.6
2013-05-20,Arties,0.8
2013-05-21,Arties,2.4
2013-05-22,Arties,30
2013-05-23,Arties,1.2
2013-05-24,Arties,0.2
2013-05-25,Arties,0.2
2013-05-26,Arties,0
2013-05-27,Arties,1.2
2013-05-28,Arties,8
2013-05-29,Arties,0.4
2013-05-30,Arties,22.2
2013-05-31,Arties,40
2013-06-01,Arties,11.6
2013-06-02,Arties,2.2
2013-06-03,Arties,0.2
2013-06-04,Arties,0
2013-06-05,Arties,0.4
2013-06-06,Arties,10.4
2013-06-07,Arties,0.2
2013-06-08,Arties,10.4
2013-06-09,Arties,5.6
2013-06-10,Arties,2.6
2013-06-11,Arties,0
2013-06-12,Arties,0.4
2013-06-13,Arties,17.2
2013-06-14,Arties,3.4
2013-06-15,Arties,0
2013-06-16,Arties,0
2013-06-17,Arties,10
2013-06-18,Arties,55.4
2013-06-19,Arties,0
2013-06-20,Arties,0.2
2013-06-21,Arties,0.409938503
2013-06-22,Arties,0
2013-06-23,Arties,0
2013-06-24,Arties,0
2013-06-25,Arties,0
2013-06-26,Arties,0
2013-06-27,Arties,4.614629036
2013-06-28,Arties,0
2013-06-29,Arties,0
2013-06-30,Arties,0
2012-01-01,Beret,5.832973128
2012-01-02,Beret,0.492234454
2012-01-03,Beret,0
2012-01-04,Beret,0.600151782
2012-01-05,Beret,0
2012-01-06,Beret,0
2012-01-07,Beret,10.44423154
2012-01-08,Beret,0
2012-01-09,Beret,0
2012-01-10,Beret,0
2012-01-11,Beret,0
2012-01-12,Beret,0
2012-01-13,Beret,0
2012-01-14,Beret,0
2012-01-15,Beret,0
2012-01-16,Beret,0
2012-01-17,Beret,0
2012-01-18,Beret,0
2012-01-19,Beret,0.2
2012-01-20,Beret,0.098359111
2012-01-21,Beret,11.18654622
2012-01-22,Beret,0.097101872
2012-01-23,Beret,0
2012-01-24,Beret,0
2012-01-25,Beret,0
2012-01-26,Beret,0.2
2012-01-27,Beret,2.230193737
2012-01-28,Beret,0.2
2012-01-29,Beret,0.193169842
2012-01-30,Beret,0.1
2012-01-31,Beret,0.2
2012-02-01,Beret,0.4
2012-02-02,Beret,0
2012-02-03,Beret,0.929678769
2012-02-04,Beret,0
2012-02-05,Beret,5.684016254
2012-02-06,Beret,0
2012-02-07,Beret,0.400771239
2012-02-08,Beret,0
2012-02-09,Beret,0
2012-02-10,Beret,0
2012-02-11,Beret,0
2012-02-12,Beret,0
2012-02-13,Beret,0
2012-02-14,Beret,6.388816148
2012-02-15,Beret,0
2012-02-16,Beret,0
2012-02-17,Beret,0
2012-02-18,Beret,0
2012-02-19,Beret,0
2012-02-20,Beret,0
2012-02-21,Beret,0
2012-02-22,Beret,0
2012-02-23,Beret,0
2012-02-24,Beret,0.306142611
2012-02-25,Beret,9.837617972
2012-02-26,Beret,0
2012-02-27,Beret,0
2012-02-28,Beret,0
2012-02-29,Beret,0
2012-03-01,Beret,0
2012-03-02,Beret,2.890290459
2012-03-03,Beret,0.650844107
2012-03-04,Beret,11.03860028
2012-03-05,Beret,0
2012-03-06,Beret,0
2012-03-07,Beret,3.132737499
2012-03-08,Beret,0
2012-03-09,Beret,0
2012-03-10,Beret,0
2012-03-11,Beret,0
2012-03-12,Beret,0
2012-03-13,Beret,0
2012-03-14,Beret,0
2012-03-15,Beret,0
2012-03-16,Beret,1.833408326
2012-03-17,Beret,0
2012-03-18,Beret,0
2012-03-19,Beret,0
2012-03-20,Beret,0.910832638
2012-03-21,Beret,66.00384126
2012-03-22,Beret,0.4
2012-03-23,Beret,0
2012-03-24,Beret,0
2012-03-25,Beret,0
2012-03-26,Beret,0
2012-03-27,Beret,0
2012-03-28,Beret,0
2012-03-29,Beret,0
2012-03-30,Beret,0
2012-03-31,Beret,0
2012-04-01,Beret,1.458787361
2012-04-02,Beret,0.2
2012-04-03,Beret,4.756889601
2012-04-04,Beret,0
2012-04-05,Beret,0.400844153
2012-04-06,Beret,0
2012-04-07,Beret,0
2012-04-08,Beret,0
2012-04-09,Beret,4.698637262
2012-04-10,Beret,12.49328305
2012-04-11,Beret,0
2012-04-12,Beret,6.496730286
2012-04-13,Beret,0
2012-04-14,Beret,20.66941972
2012-04-15,Beret,0.730197365
2012-04-16,Beret,0.2
2012-04-17,Beret,1.670203495
2012-04-18,Beret,22.32699222
2012-04-19,Beret,1.441163354
2012-04-20,Beret,0
2012-04-21,Beret,0.342612737
2012-04-22,Beret,23.09820126
2012-04-23,Beret,0.2
2012-04-24,Beret,0.358147948
2012-04-25,Beret,22.9418181
2012-04-26,Beret,0.2
2012-04-27,Beret,9.452630365
2012-04-28,Beret,27.48978065
2012-04-29,Beret,34.1033749
2012-04-30,Beret,20.72093135
2012-05-01,Beret,0.844198416
2012-05-02,Beret,0
2012-05-03,Beret,0.473703778
2012-05-04,Beret,0.6
2012-05-05,Beret,1.150101395
2012-05-06,Beret,0
2012-05-07,Beret,1.757461421
2012-05-08,Beret,4.99528295
2012-05-09,Beret,4.977880105
2012-05-10,Beret,0
2012-05-11,Beret,1.381120461
2012-05-12,Beret,0.6
2012-05-13,Beret,4.435866801
2012-05-14,Beret,0
2012-05-15,Beret,0
2012-05-16,Beret,0.304590669
2012-05-17,Beret,5.899997369
2012-05-18,Beret,0
2012-05-19,Beret,26.89817904
2012-05-20,Beret,12.79975213
2012-05-21,Beret,8.603130121
2012-05-22,Beret,1.403752713
2012-05-23,Beret,0.232682432
2012-05-24,Beret,0
2012-05-25,Beret,1.221924542
2012-05-26,Beret,0.2
2012-05-27,Beret,2.152798917
2012-05-28,Beret,3.458999428
2012-05-29,Beret,9.000976118
2012-05-30,Beret,0.6
2012-05-31,Beret,0.2
2012-06-01,Beret,9.303114029
2012-06-02,Beret,19.43347342
2012-06-03,Beret,15.48337472
2012-06-04,Beret,0
2012-06-05,Beret,0
2012-06-06,Beret,1.126539016
2012-06-07,Beret,8.448416405
2012-06-08,Beret,0
2012-06-09,Beret,0.4
2012-06-10,Beret,0
2012-06-11,Beret,1.393731627
2012-06-12,Beret,0
2012-06-13,Beret,0
2012-06-14,Beret,0
2012-06-15,Beret,0
2012-06-16,Beret,0
2012-06-17,Beret,0.2
2012-06-18,Beret,5.216027929
2012-06-19,Beret,32.73064589
2012-06-20,Beret,0.1
2012-06-21,Beret,0
2012-06-22,Beret,0
2012-06-23,Beret,0
2012-06-24,Beret,0
2012-06-25,Beret,0
2012-06-26,Beret,0.1
2012-06-27,Beret,8.264175138
2012-06-28,Beret,0
2012-06-29,Beret,0
2012-06-30,Beret,2.326001495
2012-07-01,Beret,2.71416999
2012-07-02,Beret,0
2012-07-03,Beret,0.193385631
2012-07-04,Beret,48.05021397
2012-07-05,Beret,0.592713753
2012-07-06,Beret,0
2012-07-07,Beret,0
2012-07-08,Beret,0
2012-07-09,Beret,0
2012-07-10,Beret,0
2012-07-11,Beret,0
2012-07-12,Beret,0
2012-07-13,Beret,0
2012-07-14,Beret,0
2012-07-15,Beret,0
2012-07-16,Beret,0
2012-07-17,Beret,0
2012-07-18,Beret,0
2012-07-19,Beret,0
2012-07-20,Beret,0
2012-07-21,Beret,0.600192534
2012-07-22,Beret,0
2012-07-23,Beret,0
2012-07-24,Beret,0
2012-07-25,Beret,0
2012-07-26,Beret,0.6
2012-07-27,Beret,13.24008392
2012-07-28,Beret,3.660609154
2012-07-29,Beret,0
2012-07-30,Beret,0
2012-07-31,Beret,0
2012-08-01,Beret,0
2012-08-02,Beret,0
2012-08-03,Beret,0
2012-08-04,Beret,10.35756276
2012-08-05,Beret,21.29522061
2012-08-06,Beret,0
2012-08-07,Beret,0
2012-08-08,Beret,0
2012-08-09,Beret,0.161976299
2012-08-10,Beret,0
2012-08-11,Beret,0.4
2012-08-12,Beret,0
2012-08-13,Beret,0.2
2012-08-14,Beret,0
2012-08-15,Beret,0
2012-08-16,Beret,0
2012-08-17,Beret,0
2012-08-18,Beret,0
2012-08-19,Beret,0
2012-08-20,Beret,0
2012-08-21,Beret,0
2012-08-22,Beret,0
2012-08-23,Beret,1.289838014
2012-08-24,Beret,0
2012-08-25,Beret,0
2012-08-26,Beret,0
2012-08-27,Beret,21.64765798
2012-08-28,Beret,2.788243168
2012-08-29,Beret,20.94536053
2012-08-30,Beret,14.11539467
2012-08-31,Beret,0
2012-09-01,Beret,0
2012-09-02,Beret,0
2012-09-03,Beret,0
2012-09-04,Beret,0
2012-09-05,Beret,0
2012-09-06,Beret,0
2012-09-07,Beret,0
2012-09-08,Beret,5.643947921
2012-09-09,Beret,18.7878343
2012-09-10,Beret,12.63247235
2012-09-11,Beret,0
2012-09-12,Beret,0.1
2012-09-13,Beret,0
2012-09-14,Beret,0
2012-09-15,Beret,0
2012-09-16,Beret,0
2012-09-17,Beret,0.4
2012-09-18,Beret,19.14345811
2012-09-19,Beret,0
2012-09-20,Beret,0
2012-09-21,Beret,0
2012-09-22,Beret,0
2012-09-23,Beret,11.30451097
2012-09-24,Beret,3.214233111
2012-09-25,Beret,0.656637184
2012-09-26,Beret,9.782752675
2012-09-27,Beret,0.496499857
2012-09-28,Beret,5.975832405
2012-09-29,Beret,0.600138854
2012-09-30,Beret,0
2012-10-01,Beret,0
2012-10-02,Beret,0
2012-10-03,Beret,0.2
2012-10-04,Beret,0.1
2012-10-05,Beret,0.097196458
2012-10-06,Beret,0.25376076
2012-10-07,Beret,0.21806551
2012-10-08,Beret,0
2012-10-09,Beret,0.4
2012-10-10,Beret,2.552889776
2012-10-11,Beret,20.18815036
2012-10-12,Beret,0.2
2012-10-13,Beret,0
2012-10-14,Beret,13.76152963
2012-10-15,Beret,0
2012-10-16,Beret,8.571973277
2012-10-17,Beret,0.4
2012-10-18,Beret,24.58729665
2012-10-19,Beret,79.13920103
2012-10-20,Beret,5.120438582
2012-10-21,Beret,2.456425452
2012-10-22,Beret,0
2012-10-23,Beret,0
2012-10-24,Beret,1.632326407
2012-10-25,Beret,10.43220587
2012-10-26,Beret,12.784711
2012-10-27,Beret,2.586915266
2012-10-28,Beret,0
2012-10-29,Beret,0
2012-10-30,Beret,0.602519061
2012-10-31,Beret,0.823028738
2012-11-01,Beret,0.4
2012-11-02,Beret,1.443917429
2012-11-03,Beret,0.336328549
2012-11-04,Beret,5.105842481
2012-11-05,Beret,0.2
2012-11-06,Beret,0
2012-11-07,Beret,0
2012-11-08,Beret,0.224097881
2012-11-09,Beret,5.534432651
2012-11-10,Beret,8.984180557
2012-11-11,Beret,0.649901768
2012-11-12,Beret,0.2
2012-11-13,Beret,0.2
2012-11-14,Beret,6.066533333
2012-11-15,Beret,3.233351016
2012-11-16,Beret,1.732467141
2012-11-17,Beret,6.006702828
2012-11-18,Beret,1.96614456
2012-11-19,Beret,0.6
2012-11-20,Beret,0.401874008
2012-11-21,Beret,4.699754767
2012-11-22,Beret,0.1
2012-11-23,Beret,1.897038765
2012-11-24,Beret,7.506052672
2012-11-25,Beret,3.255842731
2012-11-26,Beret,3.506309957
2012-11-27,Beret,0.2
2012-11-28,Beret,3.968197732
2012-11-29,Beret,15.6506605
2012-11-30,Beret,0
2012-12-01,Beret,0
2012-12-02,Beret,0.598378604
2012-12-03,Beret,0.600095275
2012-12-04,Beret,9.839732191
2012-12-05,Beret,0
2012-12-06,Beret,0
2012-12-07,Beret,0
2012-12-08,Beret,0
2012-12-09,Beret,0
2012-12-10,Beret,0
2012-12-11,Beret,0
2012-12-12,Beret,0.2
2012-12-13,Beret,11.97958738
2012-12-14,Beret,26.68547879
2012-12-15,Beret,0.787134467
2012-12-16,Beret,0.273302635
2012-12-17,Beret,0
2012-12-18,Beret,4.091995558
2012-12-19,Beret,10.48602178
2012-12-20,Beret,11.84650632
2012-12-21,Beret,0
2012-12-22,Beret,0
2012-12-23,Beret,0
2012-12-24,Beret,5.555010259
2012-12-25,Beret,0.240983863
2012-12-26,Beret,0
2012-12-27,Beret,1.042962163
2012-12-28,Beret,4.16311329
2012-12-29,Beret,0
2012-12-30,Beret,0.4
2012-12-31,Beret,4.370420041
2013-01-01,Beret,3.180782144
2013-01-02,Beret,0
2013-01-03,Beret,0
2013-01-04,Beret,1.659477222
2013-01-05,Beret,0.4
2013-01-06,Beret,0
2013-01-07,Beret,0
2013-01-08,Beret,0
2013-01-09,Beret,0.493787114
2013-01-10,Beret,0
2013-01-11,Beret,0
2013-01-12,Beret,0.2
2013-01-13,Beret,50.14851844
2013-01-14,Beret,20.2512632
2013-01-15,Beret,44.86390791
2013-01-16,Beret,5.484840953
2013-01-17,Beret,0
2013-01-18,Beret,14.24910696
2013-01-19,Beret,38.30035874
2013-01-20,Beret,1.2
2013-01-21,Beret,0
2013-01-22,Beret,24.25484268
2013-01-23,Beret,22.10007577
2013-01-24,Beret,12.13500439
2013-01-25,Beret,0.825091172
2013-01-26,Beret,0
2013-01-27,Beret,2.106502143
2013-01-28,Beret,1.697235274
2013-01-29,Beret,0.927387429
2013-01-30,Beret,0.4
2013-01-31,Beret,0
2013-02-01,Beret,3.203776034
2013-02-02,Beret,5.598345893
2013-02-03,Beret,0
2013-02-04,Beret,0.600154386
2013-02-05,Beret,2.284444979
2013-02-06,Beret,21.59593007
2013-02-07,Beret,10.15093694
2013-02-08,Beret,20.1244021
2013-02-09,Beret,15.18682248
2013-02-10,Beret,5.283349995
2013-02-11,Beret,23.58013813
2013-02-12,Beret,6.965314825
2013-02-13,Beret,0
2013-02-14,Beret,0.2
2013-02-15,Beret,0
2013-02-16,Beret,0
2013-02-17,Beret,4.08301174
2013-02-18,Beret,0.4
2013-02-19,Beret,0
2013-02-20,Beret,0
2013-02-21,Beret,0.343913328
2013-02-22,Beret,1.392729484
2013-02-23,Beret,0
2013-02-24,Beret,0
2013-02-25,Beret,0
2013-02-26,Beret,0
2013-02-27,Beret,0
2013-02-28,Beret,25.01498026
2013-03-01,Beret,35.27097542
2013-03-02,Beret,0
2013-03-03,Beret,0
2013-03-04,Beret,16.18196395
2013-03-05,Beret,24.62625639
2013-03-06,Beret,0
